"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Freitag 13. April 2018 5:28 PM GMT+1","","Messerattacke am Jungfernstieg; Vater ersticht Ex-Frau und Kind offenbar aus "Wut und Rache"","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:05 PM GMT+1","","Stinkende Wolke an Schule: Kinder klagen über Beschwerden","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:05 PM GMT+1","","Stinkende Wolke an Schule: Kinder klagen über Beschwerden","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:04 PM GMT+1","","Mehrere Unbekannte brechen in Bank in Neukölln ein","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:04 PM GMT+1","","Mehrere Unbekannte brechen in Bank in Neukölln ein","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:02 PM GMT+1","","Hauptbahnhof; Streit über zu laute Musik - wieder Messerattacke in Hamburg","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:02 PM GMT+1","","Hauptbahnhof; Streit über zu laute Musik - wieder Messerattacke in Hamburg","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:00 PM GMT+1","","US-Präsident vs. Tech-Gigant; Trumps Angriff auf Amazon ist eine Finte","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:00 PM GMT+1","","US-Präsident vs. Tech-Gigant; Trumps Angriff auf Amazon ist eine Finte","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 4:56 PM GMT+1","","Adil Demirci; Auswärtiges Amt geht von Festnahme eines Deutschen in der Türkei aus","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 4:56 PM GMT+1","","Adil Demirci; Auswärtiges Amt geht von Festnahme eines Deutschen in der Türkei aus","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 4:52 PM GMT+1","","88-Jährige Rollatorfahrerin von Auto überrollt","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 4:52 PM GMT+1","","88-Jährige Rollatorfahrerin von Auto überrollt","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 4:43 PM GMT+1","","Pilotprojekt: Bremer Postboten helfen Senioren","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 4:43 PM GMT+1","","Pilotprojekt: Bremer Postboten helfen Senioren","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 4:21 PM GMT+1","","Schwerverletzte Frau vor Haus gefunden: Drei Festnahmen","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 4:21 PM GMT+1","","Bauarbeiter stürzt samt Gerüst in Tiefe: Schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 4:21 PM GMT+1","","Schwerverletzte Frau vor Haus gefunden: Drei Festnahmen","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 4:21 PM GMT+1","","Bauarbeiter stürzt samt Gerüst in Tiefe: Schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 3:53 PM GMT+1","","KKH berichtet über 14 Betrugsfälle in Schleswig-Holstein","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 3:53 PM GMT+1","","KKH berichtet über 14 Betrugsfälle in Schleswig-Holstein","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 3:30 PM GMT+1","",""The Voice of ESC" wird 70; "Reden ist Silber, Peter Urban ist Gold"","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 3:30 PM GMT+1","",""The Voice of ESC" wird 70; "Reden ist Silber, Peter Urban ist Gold"","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 3:22 PM GMT+1","","Autofahrer fährt in Blumenladen: Fußgängerin schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 3:22 PM GMT+1","","Autofahrer fährt in Blumenladen: Fußgängerin schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 3:16 PM GMT+1","","Polizei sucht nach Zeugen nach schwerem Autounfall auf A 71","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 3:16 PM GMT+1","","Polizei sucht nach Zeugen nach schwerem Autounfall auf A 71","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 3:02 PM GMT+1","","Angriff am Hauptbahnhof: Schwerverletzter im Krankenhaus","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 3:02 PM GMT+1","","Angriff am Hauptbahnhof: Schwerverletzter im Krankenhaus","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 2:51 PM GMT+1","","Mann von Balkon gestürzt und schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 2:51 PM GMT+1","","Mann von Balkon gestürzt und schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 2:44 PM GMT+1","","Betrunkener steigt aus fahrendem Auto","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 2:44 PM GMT+1","","Betrunkener steigt aus fahrendem Auto","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 2:43 PM GMT+1","","Verletzte bei Messerstecherei: 20 Polizeiautos rücken an","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 2:43 PM GMT+1","","Verletzte bei Messerstecherei: 20 Polizeiautos rücken an","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 2:05 PM GMT+1","","Autofahrer stirbt bei Unfall mit Lastwagen","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 2:05 PM GMT+1","","Autofahrer stirbt bei Unfall mit Lastwagen","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 1:53 PM GMT+1","","Warnstreiks: Pendler in Frankfurt brauchen Geduld","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 1:53 PM GMT+1","","Warnstreiks: Pendler in Frankfurt brauchen Geduld","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 1:34 PM GMT+1","","Ursache für Atemwegreizungen von 290 Schülern unklar","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 1:34 PM GMT+1","","Ursache für Atemwegreizungen von 290 Schülern unklar","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 1:27 PM GMT+1","","Missbilligung von Übergewicht; "Alle denken, Dicke sind unglücklich, weil sie dick sind"","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 1:27 PM GMT+1","","Missbilligung von Übergewicht; "Alle denken, Dicke sind unglücklich, weil sie dick sind"","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 1:21 PM GMT+1","","Arbeiter in Baugrube schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 1:21 PM GMT+1","","Arbeiter in Baugrube schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 1:13 PM GMT+1","","Familientragödie; Mann versucht Frau im Schlaf zu ermorden","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 1:13 PM GMT+1","","Familientragödie; Mann versucht Frau im Schlaf zu ermorden","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 12:43 PM GMT+1","","In NRW profitieren Zehntausende von der Pflegereform","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 12:43 PM GMT+1","","In NRW profitieren Zehntausende von der Pflegereform","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 12:41 PM GMT+1","","Männer gehen mit Axt und Kanthölzern aufeinander los","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 12:41 PM GMT+1","","Männer gehen mit Axt und Kanthölzern aufeinander los","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 12:33 PM GMT+1","","Prozessbeginn nach tödlichen Schüssen in Hamburg-Eppendorf","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 12:33 PM GMT+1","","Krankenkasse: 525 000 Euro Schaden wegen acht Betrugsfällen","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 12:33 PM GMT+1","","Krankenkasse: 525 000 Euro Schaden wegen acht Betrugsfällen","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 12:33 PM GMT+1","","Prozessbeginn nach tödlichen Schüssen in Hamburg-Eppendorf","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 11:49 AM GMT+1","","Nordrhein-Westfalen; Messerangriff auf 13-Jährigen - Verdächtiger stellt sich","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 11:49 AM GMT+1","","Nordrhein-Westfalen; Messerangriff auf 13-Jährigen - Verdächtiger stellt sich","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 11:31 AM GMT+1","","10. Sächsische Waldwochen beginnen","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 11:31 AM GMT+1","","10. Sächsische Waldwochen beginnen","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 11:23 AM GMT+1","","ALBA-Kapitän vor Ludwigsburg-Duell: "Sieg großer Schritt"","","WELT ONLINE (Deutsch)","","",
