"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","29. April 2018 ","","7000 Lehrer arbeiten befristet; Bildung wird großgeschrieben. Der Staat stellt aber immer mehr Pädagogen nur befristet an. Lebensplanung fällt aus","","Welt am Sonntag","","",
"","29. April 2018 ","",""Wir haben den Ernst der Lage erkannt"; Justizministerin Katarina Barley über die neue Welle des Antisemitismus, die fast täglich auftretende Schwierigkeit, Sicherheit und Freiheit in Einklang zu bringen - und ihre Pläne, den Rechtsstaat zu stärken","","Welt am Sonntag","","",
"","29. April 2018 ","","Die Frau und Allah","","Welt am Sonntag","","",
"","29. April 2018 ","","Inakzeptable Intoleranz; In diesen Tagen müssen wir uns eine bedrückende Frage stellen: Sind wir trotz aller Anstrengungen gescheitert? Oder sind wir gerade im Begriff zu scheitern, fragt Volker Kauder","","Welt am Sonntag","","",
"","29. April 2018 ","","Die irre Fantasie vom Mann als Krone der Schöpfung; Der Amoklauf in Toronto hat den Blick auf sexuell frustrierte Männer gelenkt, die aus Frauenhass gewalttätig werden. Gibt es das auch hier?","","Welt am Sonntag","","",
"","29. April 2018 ","","Wie Marx zum Helden der Neuen Rechten wurde; Linker als ein Marxist konnte man früher gar nicht sein. Doch zu seinem 200. Geburtstag ist Karl Marx auch bei Rechten angesagt. Quo vadis, Marxismus?","","Welt am Sonntag","","",
"","29. April 2018 ","","Moralischer Narzissmus; Das Misstrauen gegen realitätsferne Bekenntnisse ist hierzulande nicht sonderlich populär. Stattdessen beherrschen moralische Gemeinplätze die öffentliche Diskussion. Das belastet die gesamte Gesellschaft, findet unser Autor Peter Schneider","","Welt am Sonntag","","",
"","29. April 2018 ","","Der Flug der Pusteblume; Seit September 2015 finden an der deutsch-österreichischen Grenze Kontrollen statt. Die Schleuser nutzen längst andere Routen. Die Bundespolizei steht trotzdem noch da","","Welt am Sonntag","","",
"","29. April 2018 ","","An Putins Seite; Außenminister Heiko Maas steht einer Phalanx von mächtigen Russlandfreunden gegenüber. Und die stecken überall, zeigt Susanne Gaschke","","Welt am Sonntag","","",
"","Samstag 28. April 2018 ","","Mehr Bock auf Demokratie","","Die Welt","","",
"","Samstag 28. April 2018 ","","Bayern ist sicherstes Bundesland. In Berlin ist es am gefährlichsten; Im Ländervergleich der Polizeilichen Kriminalstatistik schneiden die Stadtstaaten schlecht ab. Insgesamt geht die Zahl der Straftaten zurück. 8,5 Prozent der Tatverdächtigen sind Zuwanderer","","Die Welt","","",
"","Samstag 28. April 2018 ","","Kim Jong-uns Volten","","Die Welt","","",
"","Samstag 28. April 2018 ","","Bayern ist das sicherste Bundesland, in Berlin ist es am gefährlichsten; Im Ländervergleich der Kriminalstatistik schneiden die Stadtstaaten schlecht ab. Insgesamt sinkt die Zahl der Straftaten. 8,5 Prozent der Verdächtigen sind Zuwanderer","","Die Welt","","",
"","Samstag 28. April 2018 ","","BAMF verschwieg Ausmaß der Korruption; Behörde ließ längere Zeit Innenministerium im Unklaren","","Die Welt","","",
"","Samstag 28. April 2018 ","",""Elf verlorene Jahre"; Kim Jong-un sagt beim Treffen mit seinem südkoreanischen Amtskollegen Abrüstung und Wiedervereinigung zu. Solche Versprechen sind nicht neu","","Die Welt","","",
"","Freitag 27. April 2018 ","","Leserbriefe","","Die Welt","","",
"","Freitag 27. April 2018 ","","Man lernt ja nie aus","","Die Welt","","",
"","Freitag 27. April 2018 ","","Tag 44","","Die Welt","","",
"","Donnerstag 26. April 2018 ","","Parteien für Migranten oder Migranten in die Parteien; Das Interesse von Zuwanderern an einer Mitgliedschaft ist gering. Gewisse Erfolge hat die SPD bei den Türken. Das C im Namen macht es manchen Muslimen schwer, sich für die Unionsparteien zu entscheiden","","Die Welt","","",
"","Donnerstag 26. April 2018 ","",""Tragt die Kippa und einen Stock"","","Die Welt","","",
"","Donnerstag 26. April 2018 ","","Für die Syrien-Hilfe kommt wohl weniger Geld zusammen als erwartet; UN rechnen auf der Geberkonferenz in Brüssel nur mit 4,4 Milliarden Dollar - vor einem Jahr gab es noch Zusagen über sechs Milliarden","","Die Welt","","",
"","Donnerstag 26. April 2018 ","","BAMF-Affäre weitet sich aus","","Die Welt","","",
"","Mittwoch 25. April 2018 ","","Warnung vor einer Illusion; Migrationsexperten dämpfen die Hoffnungen auf ein neues Einwanderungsgesetz: Zwar könnten mehr Fachkräfte angeworben werden. Ungeregelter Zuzug werde aber nicht gestoppt","","Die Welt","","",
